"country","year","ciri","cow","polity","unctry","unreg","unsubreg","human_rights_score","physint_sum","repression_sum","civpol_sum","workerrights_practices_sum","workerrights_laws_sum","disap","kill","polpris","tort","bbatrocity","bbatrocity_intensity","assn","formov","dommov","speech","elecsd","rel_free","wecon","wopol","wosoc_p","union_p","barg_p","hour_p","force_p","child_p","wage_p","safe_p","trafficking_p","injud","ngo_freedom","trial_p","wosoc_l","union_l","barg_l","hour_l","force_l","child_l","wage_l","safe_l","trafficking_l","trial_l"
"Congo, Democratic Republic of",2020,218,490,490,180,2,17,NA,1,1,0,NA,NA,0,0,1,0,1,2,0,1,0,0,0,0,NA,NA,1,0,0,NA,0,1,1,1,0,0,0,0,1,1,1,NA,2,2,1,1,1,3
"Eritrea",2020,272,531,531,232,2,14,NA,2,2,0,NA,NA,0,2,0,0,0,NA,0,0,1,0,0,0,NA,NA,2,0,1,NA,1,1,0,1,0,0,1,0,3,2,2,NA,2,1,0,0,0,0
"Australia",2020,125,900,900,36,9,53,NA,6,13,5,NA,NA,2,1,2,1,0,NA,2,2,2,1,2,2,NA,NA,3,2,1,NA,2,1,2,2,1,2,3,2,3,2,1,NA,2,1,2,2,2,2
"Guatemala",2020,311,90,90,320,419,13,NA,6,10,4,NA,NA,2,1,2,1,0,NA,1,2,1,1,2,2,NA,NA,2,0,0,NA,1,0,0,1,1,0,0,0,3,1,1,NA,2,1,1,2,1,1
"Micronesia, Federated States of",2020,446,987,987,583,9,57,NA,8,15,5,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,1,NA,NA,2,2,0,NA,2,0,0,2,0,2,3,2,2,1,0,NA,2,0,0,2,0,3
"Samoa",2020,545,990,990,882,9,61,NA,7,13,4,NA,NA,2,2,2,1,0,NA,2,2,1,1,1,1,NA,NA,3,1,2,NA,2,0,1,1,1,2,3,2,3,1,2,NA,2,0,1,2,1,2
"Albania",2020,104,339,339,8,150,39,NA,7,12,4,NA,NA,2,2,2,1,0,NA,2,2,1,1,1,1,NA,NA,1,1,1,NA,1,0,0,1,2,0,3,1,3,2,2,NA,2,2,1,2,1,2
"Latvia",2020,389,367,367,428,150,154,NA,6,11,4,NA,NA,2,2,2,0,0,NA,1,2,2,1,2,2,NA,NA,3,1,1,NA,2,1,2,2,0,1,3,1,3,1,1,NA,2,1,2,2,0,3
"Costa Rica",2020,224,94,94,188,419,13,NA,7,13,5,NA,NA,2,2,2,1,0,NA,2,2,2,2,2,1,NA,NA,3,0,1,NA,2,0,1,1,1,2,3,1,3,1,2,NA,2,2,2,2,1,2
"Estonia",2020,275,366,366,233,150,154,NA,7,16,6,NA,NA,2,2,2,1,0,NA,2,2,2,2,2,2,NA,NA,2,1,2,NA,2,1,2,2,2,2,3,3,3,2,2,NA,2,1,2,2,2,2
"Slovak Republic",2020,575,317,317,703,150,151,NA,7,13,5,NA,NA,2,2,2,1,0,NA,2,2,2,1,2,2,NA,NA,2,1,1,NA,1,0,2,2,1,1,2,1,3,2,1,NA,2,1,2,2,1,3
"Uzbekistan",2020,668,704,704,860,142,62,NA,4,6,2,NA,NA,2,1,1,0,0,NA,1,1,1,1,0,0,NA,NA,2,0,1,NA,2,0,1,1,0,0,0,0,3,2,1,NA,2,2,1,1,1,2
"Morocco",2020,461,600,600,504,2,15,NA,5,7,2,NA,NA,2,2,0,1,0,NA,1,1,1,1,1,0,NA,NA,2,0,1,NA,1,0,1,2,0,0,0,0,2,0,1,NA,2,0,2,2,0,3
"Chile",2020,206,155,155,152,419,5,NA,5,12,5,NA,NA,2,1,2,0,0,NA,2,2,2,1,2,2,NA,NA,1,1,1,NA,1,0,1,1,2,2,3,2,2,1,1,NA,2,2,2,2,2,2
"Dominican Republic",2020,254,42,42,214,419,29,NA,4,7,3,NA,NA,2,0,2,0,1,1,1,2,0,1,1,1,NA,NA,2,0,0,NA,1,1,1,1,0,0,1,0,2,1,1,NA,2,1,1,2,1,3
"Sao Tome and Principe",2020,551,403,403,678,2,17,NA,8,15,5,NA,NA,2,2,2,2,0,NA,2,2,2,1,2,2,NA,NA,1,0,0,NA,1,0,1,1,1,1,2,2,3,1,0,NA,2,1,2,2,1,3
"Uganda",2020,650,500,500,800,2,14,NA,2,2,0,NA,NA,1,1,0,0,0,NA,0,2,2,0,0,0,NA,NA,0,0,1,NA,1,0,0,0,0,0,0,0,0,2,2,NA,2,1,0,2,2,2
"Cambodia",2020,188,811,811,116,142,35,NA,2,3,1,NA,NA,1,1,0,0,0,NA,0,1,2,0,0,1,NA,NA,1,0,0,NA,0,1,0,0,0,0,0,0,3,1,1,NA,2,1,0,1,1,0
"Dominica",2020,251,54,54,212,419,29,NA,7,13,5,NA,NA,2,2,1,2,0,NA,2,2,2,2,1,1,NA,NA,2,2,2,NA,2,0,0,0,1,2,2,1,3,2,2,NA,2,0,0,2,1,1
"Azerbaijan",2020,131,373,373,31,142,145,NA,3,3,0,NA,NA,2,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,2,1,0,NA,1,0,1,1,0,0,0,0,2,1,1,NA,1,2,2,2,1,2
"Bulgaria",2020,176,355,355,100,150,151,NA,6,9,2,NA,NA,2,2,2,0,0,NA,0,2,2,1,0,1,NA,NA,3,0,0,NA,1,0,0,1,0,0,1,1,3,1,2,NA,2,2,2,2,1,2
"Central African Republic",2020,200,482,482,140,2,17,NA,6,10,4,NA,NA,2,1,2,1,0,NA,1,2,0,2,1,1,NA,NA,1,1,0,NA,0,0,0,0,0,0,3,0,1,1,0,NA,1,0,0,0,2,1
"Cape Verde",2020,197,402,402,132,2,11,NA,7,14,5,NA,NA,2,2,2,1,0,NA,2,2,2,1,2,2,NA,NA,2,2,2,NA,2,1,1,2,1,2,2,2,3,2,2,NA,2,2,2,2,1,2
"Belarus",2020,146,370,370,112,150,151,NA,2,2,0,NA,NA,1,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,2,0,0,NA,0,2,2,1,0,0,0,0,3,0,0,NA,1,2,2,2,0,1
"Jamaica",2020,356,51,51,388,419,29,NA,5,12,5,NA,NA,2,0,2,1,0,NA,2,2,2,2,2,1,NA,NA,2,1,0,NA,1,0,1,1,0,2,3,2,3,1,0,NA,2,1,2,2,0,3
"Bahamas",2020,134,31,31,44,419,29,NA,7,12,5,NA,NA,2,2,2,1,0,NA,2,2,2,2,1,1,NA,NA,2,1,1,NA,2,1,1,1,1,1,3,0,2,1,2,NA,2,1,2,2,1,1
"Saint Kitts and Nevis",2020,536,60,60,659,419,29,NA,8,16,5,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,1,NA,NA,3,2,1,NA,2,1,2,2,1,2,2,3,3,1,1,NA,2,1,2,2,1,2
"Kazakhstan",2020,365,705,705,398,142,62,NA,4,4,0,NA,NA,2,1,1,0,0,NA,0,1,1,0,0,0,NA,NA,1,0,0,NA,2,0,1,1,0,0,1,0,3,1,1,NA,2,1,2,2,0,1
"Paraguay",2020,509,150,150,600,419,5,NA,5,10,5,NA,NA,2,1,2,0,0,NA,2,2,2,1,2,2,NA,NA,1,0,0,NA,0,0,0,1,0,0,2,0,3,1,2,NA,2,1,0,2,0,3
"Bangladesh",2020,140,771,771,50,142,62,NA,1,1,0,NA,NA,0,0,1,0,1,2,0,1,1,0,0,0,NA,NA,2,0,0,NA,0,0,1,1,0,0,1,0,2,0,0,NA,2,1,1,1,0,1
"Vanuatu",2020,671,935,935,548,9,54,NA,8,17,6,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,2,NA,NA,0,1,1,NA,2,0,0,1,1,2,3,3,2,1,1,NA,2,0,2,2,1,2
"Norway",2020,491,385,385,578,150,154,NA,8,17,6,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,2,NA,NA,3,2,2,NA,2,1,1,2,0,2,3,3,3,2,2,NA,2,1,1,2,0,3
"Italy",2020,353,325,325,380,150,39,NA,5,9,3,NA,NA,2,1,2,0,0,NA,2,2,2,1,2,0,NA,NA,3,1,2,NA,1,1,1,2,0,1,3,1,3,1,2,NA,2,2,1,2,0,2
"Belize",2020,152,80,80,84,419,13,NA,6,13,6,NA,NA,2,1,2,1,0,NA,2,2,2,2,1,2,NA,NA,2,1,1,NA,0,0,1,1,0,2,3,1,3,2,2,NA,2,0,2,2,0,2
"Nigeria",2020,488,475,475,566,2,11,NA,2,3,1,NA,NA,0,1,1,0,0,NA,0,2,1,0,1,1,NA,NA,1,0,0,NA,0,0,0,1,0,0,1,0,1,0,0,NA,1,0,0,2,0,2
"Rwanda",2020,533,517,517,646,2,14,NA,2,4,2,NA,NA,1,1,0,0,0,NA,0,1,2,0,0,2,NA,NA,2,0,0,NA,1,1,0,1,0,2,0,0,3,1,0,NA,2,1,0,2,0,3
"Bahrain",2020,137,692,692,48,142,145,NA,4,4,0,NA,NA,2,2,0,0,0,NA,0,0,1,0,0,0,NA,NA,1,0,0,NA,0,1,0,0,0,0,0,0,2,0,0,NA,1,1,0,1,0,1
"East Timor",2020,257,860,860,626,142,35,NA,6,12,5,NA,NA,2,2,2,0,0,NA,2,2,2,2,2,1,NA,NA,0,0,1,NA,1,0,0,1,0,0,2,1,2,1,2,NA,2,0,2,1,0,1
"Mongolia",2020,455,712,712,496,142,30,NA,7,11,4,NA,NA,2,2,2,1,0,NA,2,1,2,1,1,1,NA,NA,3,0,0,NA,1,0,1,2,0,1,1,0,3,1,2,NA,1,0,2,2,0,3
"Tonga",2020,632,955,955,776,9,61,NA,7,14,4,NA,NA,2,2,2,1,0,NA,2,2,2,1,1,1,NA,NA,1,0,0,NA,2,0,0,1,0,2,3,3,2,0,0,NA,2,0,0,2,0,2
"Portugal",2020,521,235,235,620,150,39,NA,6,15,6,NA,NA,2,1,2,1,0,NA,2,2,2,2,2,2,NA,NA,3,1,0,NA,2,1,1,2,0,2,3,3,3,2,2,NA,2,2,1,2,0,3
"Peru",2020,512,135,135,604,419,5,NA,4,8,4,NA,NA,2,0,2,0,1,1,1,2,1,1,2,2,NA,NA,1,0,1,NA,0,0,1,1,0,1,2,0,3,1,1,NA,2,1,2,2,0,3
"Russia",2020,530,365,365,643,150,151,NA,0,2,0,NA,NA,0,0,0,0,1,3,0,1,1,0,0,0,NA,NA,1,0,0,NA,0,0,1,1,0,0,0,2,1,1,0,NA,1,2,2,2,0,2
"Namibia",2020,467,565,565,516,2,18,NA,6,13,5,NA,NA,2,1,2,1,0,NA,2,2,2,2,2,1,NA,NA,2,1,1,NA,2,1,1,2,0,2,2,2,2,1,1,NA,2,2,1,2,0,3
"Nauru",2020,470,970,970,520,9,57,NA,8,15,4,NA,NA,2,2,2,2,0,NA,2,2,2,0,1,2,NA,NA,3,1,0,NA,1,1,0,1,0,2,3,3,3,1,0,NA,2,1,0,1,1,3
"Afghanistan",2020,101,700,700,4,142,62,NA,2,4,2,NA,NA,1,1,0,0,0,NA,1,2,1,1,1,0,NA,NA,0,0,0,NA,0,0,0,0,0,0,2,0,0,1,0,NA,0,1,0,0,1,0
"Macedonia",2020,413,343,343,807,150,39,NA,6,11,4,NA,NA,2,2,2,0,0,NA,2,1,1,1,2,1,NA,NA,3,0,0,NA,1,0,1,1,0,1,2,1,3,1,2,NA,2,1,1,2,0,2
"Bhutan",2020,158,760,760,64,142,62,NA,7,12,4,NA,NA,2,2,1,2,0,NA,1,0,0,2,2,1,NA,NA,3,2,2,NA,1,0,2,2,1,1,1,1,3,2,2,NA,1,1,2,2,0,1
"Cote d'Ivoire",2020,227,437,437,384,2,11,NA,4,6,2,NA,NA,1,1,1,1,0,NA,0,2,1,0,0,2,NA,NA,1,1,1,NA,1,1,0,0,1,0,2,0,1,1,1,NA,2,1,2,2,1,1
"Maldives",2020,425,781,781,462,142,62,NA,7,9,2,NA,NA,2,2,2,1,0,NA,1,2,2,1,1,0,NA,NA,1,0,0,NA,0,0,0,1,0,0,1,0,1,1,0,NA,2,1,0,1,0,2
"Antigua and Barbuda",2020,116,58,58,28,419,29,NA,8,15,5,NA,NA,2,2,2,2,0,NA,2,2,2,1,2,2,NA,NA,3,1,1,NA,1,1,1,1,1,2,3,2,3,1,1,NA,2,2,1,2,1,3
"Austria",2020,128,305,305,40,150,155,NA,8,15,5,NA,NA,2,2,2,2,0,NA,2,2,1,1,2,2,NA,NA,3,1,2,NA,2,1,1,2,2,2,3,2,3,2,2,NA,2,1,0,2,2,2
"Malawi",2020,419,553,553,454,2,14,NA,6,10,3,NA,NA,2,2,2,0,0,NA,1,2,1,1,2,1,NA,NA,1,1,1,NA,1,0,0,2,0,1,2,1,1,1,1,NA,2,0,1,2,0,2
"Vietnam",2020,677,816,818,704,142,35,NA,2,2,0,NA,NA,1,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,1,0,0,NA,1,0,1,2,0,0,0,0,3,1,0,NA,2,1,2,2,2,0
"Iceland",2020,332,395,395,352,150,154,NA,8,16,6,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,2,NA,NA,3,2,2,NA,1,1,0,2,0,2,3,2,3,2,2,NA,2,1,0,2,1,3
"Hungary",2020,329,310,310,348,150,151,NA,7,11,2,NA,NA,2,2,2,1,0,NA,0,2,2,1,1,1,NA,NA,3,0,1,NA,1,1,2,2,0,1,1,2,3,1,2,NA,2,1,2,2,0,2
"Pakistan",2020,497,770,770,586,142,62,NA,0,1,1,NA,NA,0,0,0,0,1,3,1,1,1,0,1,0,NA,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,2,NA,2,0,0,1,0,0
"San Marino",2020,548,331,331,674,150,39,NA,8,15,5,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,1,NA,NA,3,2,2,NA,2,2,0,2,1,2,3,2,3,2,2,NA,2,2,0,2,1,3
"Finland",2020,284,375,375,246,150,154,NA,8,16,5,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,1,NA,NA,3,2,2,NA,1,2,1,2,2,2,3,3,3,2,2,NA,2,2,1,2,2,3
"Czech Republic",2020,239,316,316,203,150,151,NA,7,14,4,NA,NA,2,2,2,1,0,NA,2,2,2,2,2,0,NA,NA,3,1,1,NA,2,2,2,2,2,1,3,3,3,2,2,NA,2,2,2,2,2,3
"Honduras",2020,326,91,91,340,419,13,NA,5,8,3,NA,NA,2,1,2,0,0,NA,1,2,1,1,1,1,NA,NA,2,1,0,NA,1,0,0,1,0,0,2,0,3,1,1,NA,2,2,0,1,0,2
"Greece",2020,305,350,350,300,150,39,NA,7,10,3,NA,NA,2,2,2,1,0,NA,1,2,1,1,2,1,NA,NA,3,1,1,NA,1,0,1,2,1,1,3,0,3,2,1,NA,2,1,2,2,2,2
"Singapore",2020,572,830,830,702,142,35,NA,8,10,2,NA,NA,2,2,2,2,0,NA,1,1,2,1,0,0,NA,NA,2,1,1,NA,1,0,0,2,2,1,1,0,3,1,1,NA,1,0,0,2,1,1
"China",2020,209,710,710,156,142,30,NA,0,0,0,NA,NA,0,0,0,0,1,3,0,0,0,0,0,0,NA,NA,1,0,0,NA,0,1,1,0,0,0,0,0,2,0,0,NA,2,1,1,2,0,0
"Liechtenstein",2020,404,223,223,438,150,155,NA,8,17,6,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,2,NA,NA,3,1,0,NA,2,1,2,2,1,2,3,3,3,1,0,NA,2,1,2,2,1,3
"Iran",2020,341,630,630,364,142,62,NA,0,0,0,NA,NA,0,0,0,0,1,3,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,1,0,1,0,0,0,0,0,0,0,NA,2,1,1,1,0,0
"Kyrgyz Republic",2020,383,703,703,417,142,62,NA,5,6,1,NA,NA,2,2,1,0,0,NA,1,2,2,0,0,0,NA,NA,2,1,1,NA,1,0,0,1,0,0,1,0,3,2,1,NA,2,1,1,2,0,0
"Burma",2020,182,775,775,104,142,35,NA,1,1,0,NA,NA,1,0,0,0,1,2,0,0,0,0,0,0,NA,NA,1,1,1,NA,0,1,1,1,0,0,0,0,2,1,1,NA,1,1,1,2,0,0
"Kenya",2020,368,501,501,404,2,14,NA,3,6,3,NA,NA,0,0,2,1,1,1,1,2,2,1,1,1,NA,NA,0,0,1,NA,1,0,1,1,0,1,1,0,1,1,1,NA,2,0,2,2,0,3
"Denmark",2020,245,390,390,208,150,154,NA,7,14,4,NA,NA,2,2,2,1,0,NA,2,2,2,2,2,0,NA,NA,3,2,2,NA,2,1,0,2,0,2,3,3,3,2,2,NA,2,1,0,2,2,3
"United Arab Emirates",2020,656,696,696,784,142,145,NA,6,6,0,NA,NA,2,2,1,1,0,NA,0,0,2,0,0,0,NA,NA,0,0,0,NA,0,1,0,2,1,0,0,0,0,0,0,NA,2,1,0,2,2,1
"Angola",2020,113,540,540,17,2,17,NA,5,8,3,NA,NA,2,1,1,1,0,NA,1,1,0,1,0,1,NA,NA,1,1,0,NA,0,1,1,1,1,1,1,0,2,1,0,NA,2,2,1,2,1,2
"Egypt",2020,263,651,651,818,2,15,NA,0,0,0,NA,NA,0,0,0,0,1,3,0,1,0,0,0,0,NA,NA,1,0,0,NA,1,0,0,0,0,1,0,0,1,1,1,NA,2,1,0,2,2,1
"Comoros",2020,215,581,581,174,2,14,NA,5,8,1,NA,NA,2,1,1,1,0,NA,0,2,2,1,0,0,NA,NA,2,0,0,NA,1,0,0,0,0,1,3,2,3,1,0,NA,2,0,0,1,1,2
"Fiji",2020,281,950,950,242,9,54,NA,6,12,4,NA,NA,2,1,2,1,0,NA,1,0,2,1,2,2,NA,NA,1,0,1,NA,1,1,1,2,1,1,1,2,3,1,1,NA,2,1,1,2,2,2
"Libya",2020,401,620,620,434,2,15,NA,1,2,1,NA,NA,0,0,1,0,1,2,1,2,1,0,1,0,NA,NA,1,0,0,NA,0,0,1,NA,0,0,0,0,1,0,0,NA,0,1,1,2,0,0
"Ireland",2020,347,205,205,372,150,154,NA,8,16,5,NA,NA,2,2,2,2,0,NA,2,2,2,2,2,1,NA,NA,3,1,0,NA,1,1,2,2,0,2,3,3,3,1,0,NA,2,1,2,2,0,3
"Monaco",2020,452,221,221,492,150,155,NA,8,17,6,NA,NA,2,2,2,2,0,NA,2,2,2,2,0,2,NA,NA,3,2,2,NA,2,2,2,2,1,2,3,3,3,2,2,NA,2,2,2,2,1,3
"Japan",2020,359,740,740,392,142,30,NA,8,13,4,NA,NA,2,2,2,2,0,NA,2,2,2,1,2,1,NA,NA,2,1,2,NA,1,1,1,2,0,1,2,1,2,1,2,NA,2,1,2,2,0,2
"Nepal",2020,473,790,790,524,142,62,NA,4,5,1,NA,NA,2,0,2,0,1,1,1,1,0,0,1,0,NA,NA,0,1,1,NA,0,0,1,1,0,0,1,0,2,1,1,NA,2,1,1,1,0,1
"South Africa",2020,587,560,560,710,2,18,NA,4,7,3,NA,NA,2,0,2,0,1,1,1,2,2,1,1,1,NA,NA,0,1,2,NA,1,1,0,1,1,1,2,0,1,1,2,NA,2,1,2,2,1,2
"Jordan",2020,362,663,663,400,142,145,NA,6,8,2,NA,NA,2,2,1,1,0,NA,1,2,2,0,0,1,NA,NA,1,0,0,NA,2,0,0,1,0,2,1,0,2,1,0,NA,2,1,2,2,0,2
"Lesotho",2020,395,570,570,426,2,18,NA,4,8,4,NA,NA,2,0,2,0,1,1,2,2,2,1,2,1,NA,NA,1,1,1,NA,1,0,0,1,0,0,2,0,2,1,1,NA,2,1,0,2,1,2
"Tajikistan",2020,620,702,702,762,142,62,NA,3,5,2,NA,NA,1,1,0,1,0,NA,1,0,1,0,0,1,NA,NA,1,0,0,NA,1,0,1,1,1,0,1,0,1,0,1,NA,2,1,1,2,1,3
"Trinidad and Tobago",2020,635,52,52,780,419,29,NA,6,15,6,NA,NA,2,1,2,1,0,NA,2,2,2,2,2,2,NA,NA,3,2,1,NA,2,1,2,2,1,2,3,3,3,2,1,NA,2,1,2,2,1,3
"Tuvalu",2020,647,947,947,798,9,61,NA,8,15,4,NA,NA,2,2,2,2,0,NA,1,2,2,2,2,1,NA,NA,2,1,1,NA,2,1,0,1,1,2,2,3,2,1,1,NA,2,1,0,2,1,3
"Romania",2020,527,360,360,642,150,151,NA,6,9,3,NA,NA,2,1,2,1,0,NA,1,2,1,1,2,1,NA,NA,1,0,0,NA,0,0,1,1,0,1,2,0,3,1,1,NA,2,2,2,2,0,3
"Qatar",2020,524,694,694,634,142,145,NA,6,7,0,NA,NA,2,2,2,0,0,NA,0,0,1,0,0,0,NA,NA,1,0,0,NA,1,1,0,1,0,1,3,1,3,0,0,NA,2,2,0,2,0,1
"Syria",2020,614,652,652,760,142,145,NA,0,0,0,NA,NA,0,0,0,0,1,3,0,0,0,0,0,0,NA,NA,0,0,0,NA,1,0,1,1,0,0,0,0,0,1,0,NA,0,0,1,1,0,0
"Oman",2020,494,698,698,512,142,145,NA,6,7,1,NA,NA,2,2,1,1,0,NA,0,1,1,0,0,1,NA,NA,1,1,1,NA,0,1,0,2,0,2,2,0,1,1,1,NA,2,1,0,2,0,0
"Saint Lucia",2020,539,56,56,662,419,29,NA,7,16,6,NA,NA,2,2,2,1,0,NA,2,2,2,2,2,2,NA,NA,2,1,2,NA,1,0,0,2,1,2,3,3,3,2,2,NA,1,0,0,2,0,2
"Thailand",2020,626,800,800,764,142,35,NA,3,5,2,NA,NA,1,1,1,0,0,NA,1,2,1,1,1,0,NA,NA,1,0,1,NA,0,0,0,1,1,1,0,0,2,1,1,NA,2,0,0,1,1,2
"Yemen",2020,680,679,679,887,142,145,NA,1,1,0,NA,NA,0,1,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,1,0,NA,1,0,0,0,0,0,0,0,0,1,1,NA,1,2,0,2,0,0
"Guinea-Bissau",2020,317,404,404,624,2,11,NA,6,8,1,NA,NA,2,2,2,0,0,NA,0,2,2,0,2,1,NA,NA,1,1,0,NA,1,0,1,0,0,0,2,1,1,1,0,NA,2,1,1,1,1,2
"India",2020,335,750,750,356,142,62,NA,0,3,3,NA,NA,0,0,0,0,1,3,1,0,1,1,2,1,NA,NA,0,1,1,NA,1,0,1,1,0,0,1,0,0,1,1,NA,2,2,2,2,0,1
"Kosovo",2020,699,347,341,383,150,39,NA,7,13,4,NA,NA,2,2,2,1,0,NA,2,1,1,1,1,1,NA,NA,2,0,1,NA,1,0,1,1,0,1,2,2,3,2,2,NA,2,0,2,2,0,3
"Niger",2020,485,436,436,562,2,11,NA,3,6,3,NA,NA,0,1,1,1,0,NA,1,2,1,1,1,1,NA,NA,1,1,1,NA,0,0,0,2,0,1,2,0,1,1,1,NA,2,0,0,2,0,1
"Serbia",2020,560,342,342,688,150,39,NA,6,11,4,NA,NA,2,2,2,0,0,NA,1,2,2,1,1,2,NA,NA,0,1,1,NA,1,0,1,1,0,1,0,1,3,1,1,NA,1,2,2,1,1,2
"South Sudan",2020,700,626,525,728,2,15,NA,0,2,2,NA,NA,0,0,0,0,1,3,0,1,1,0,0,2,NA,NA,0,0,1,NA,0,0,0,0,0,0,0,0,0,1,1,NA,1,1,0,0,0,0
"Equatorial Guinea",2020,269,411,411,226,2,17,NA,2,3,1,NA,NA,1,1,0,0,0,NA,0,1,1,0,0,1,NA,NA,2,0,0,NA,1,1,0,1,0,0,0,0,2,1,0,NA,2,1,0,2,0,1
"Israel",2020,350,666,666,376,142,145,NA,3,8,2,NA,NA,2,0,1,0,1,1,1,1,0,1,1,0,NA,NA,1,1,1,NA,1,1,1,1,0,2,1,3,3,2,1,NA,2,2,2,1,1,3
"Papua New Guinea",2020,506,910,910,598,9,54,NA,4,10,5,NA,NA,2,0,2,0,1,1,2,2,2,2,0,1,NA,NA,1,0,0,NA,0,0,1,1,0,2,2,1,2,1,0,NA,2,0,2,2,0,2
